ANO;DOCUMENTO;Nº ;ATO NORMATIVO;EMENTA;ÁREA MMA;ASSUNTO;LINK;STATUS;REVOGA
1988;RESOLUÇÃO CONAMA;9;Resolução CONAMA Nº 009/1988;Dispõe sobre a alteração da Resolução nº 7/88;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=73;NÃO CONSTA REVOGAÇÃO EXPRESSA;
1989;LEI;7802;Lei nº 7.802, de 11 de julho de 1989;Dispõe sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem, o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, a exportação, o destino final dos resíduos e embalagens, o registro, a classificação, o controle, a inspeção e a fiscalização de agrotóxicos, seus componentes e afins;EXTERNO;USO DE AGROTÓXICOS;https://www.planalto.gov.br/ccivil_03/leis/l7802.htm;NÃO CONSTA REVOGAÇÃO EXPRESSA;
1989;RESOLUÇÃO CONAMA;1;Resolução CONAMA Nº 001/1989;Dispõe sobre a criação de Câmaras Técnicas para analisar o Programa Nossa Natureza;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=77;ATO EXAURIDO;
1989;RESOLUÇÃO CONAMA;2;Resolução CONAMA Nº 002/1989;Dispõe sobre a criação de Câmaras Técnicas sobre projetos radioativos. Alterada pela Resolução nº 13, de 1989. Revogada pela Resolução nº 03, de 1991.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=78;REVOGADO;
1989;RESOLUÇÃO CONAMA;6;Resolução CONAMA Nº 006/1989;"Dispõe sobre o Cadastro Nacional de Entidades Ambientalistas - CNEA. Alterada Pela Resolução Nº 292/2002.
REVOGADO pela Resolução CONAMA nº 502/2021.
REPRESTINADA PELA RESOLUÇÃO CONAMA Nº 504/2023";CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=82;VIGENTE;
1989;RESOLUÇÃO CONAMA;7;Resolução CONAMA Nº 007/1989;Dispõe sobre alterações no Regimento Interno do CONAMA;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=83;ATO EXAURIDO;
1989;RESOLUÇÃO CONAMA;8;Resolução CONAMA Nº 008/1989;Dispõe sobre alterações no Regimento Interno do CONAMA;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=84;ATO EXAURIDO;
1989;RESOLUÇÃO CONAMA;9;Resolução CONAMA Nº 009/1989 ;Dispõe sobre aprovação do Calendário de Reuniões Ordinárias do CONAMA, no exercício de 1989;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=85;ATO EXAURIDO;
1989;RESOLUÇÃO CONAMA;13;Resolução CONAMA Nº 013/1989;Dispõe sobre a competência da Câmara Técnica para acompanhamento e análise do destino final do lixo radioativo produzido no país. Revogada pela Resolução nº 03, de 1991.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=89;REVOGADO;
1989;RESOLUÇÃO CONAMA;14;Resolução CONAMA Nº 014/1989;Dispõe sobre recurso administrativo interposto pelo Instituto de Estudos Amazônicos. Revogada pela Resolução nº 21, de 1995.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=90;REVOGADO;
1989;RESOLUÇÃO CONAMA;19;Resolução CONAMA Nº 019/1989;Dispõe sobre a criação da Câmara Técnica sobre o uso do carvão vegetal, na utilização industrial. Revogada pela Resolução nº 03, de 1991.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=95;REVOGADO;
1989;RESOLUÇÃO CONAMA;21;Resolução CONAMA Nº 021/1989;Dispõe sobre o Calendário de Reuniões Ordinárias do CONAMA, para o exercício de 1990;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=97;ATO EXAURIDO;
1990;RESOLUÇÃO CONAMA;4;Resolução CONAMA Nº 004/1990;Dispõe sobre Ação Civil impetrada contra o cidadão José Ávila Bassul;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=101;ATO EXAURIDO;
1990;RESOLUÇÃO CONAMA;7;Resolução CONAMA Nº 007/1990;Dispõe sobre a Composição das Câmaras Técnicas. Revogada pela Resolução nº 03, de 1991.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=104;REVOGADO;
1990;RESOLUÇÃO CONAMA;14;Resolução CONAMA Nº 014/1990;Dispõe sobre a criação da Câmara Técnica de proteção ao patrimônio dos povos da floresta;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=111;ATO EXAURIDO;
1990;RESOLUÇÃO CONAMA;15;Resolução CONAMA Nº 015/1990;Dispõe sobre a criação da Câmara Técnica, com vistas à ECO/92/RJ;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=112;ATO EXAURIDO;
1990;RESOLUÇÃO CONAMA;17;Resolução CONAMA Nº 017/1990;Dispõe sobre o Calendário de Reuniões Ordinárias do CONAMA, para o exercício de 1991;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=114;ATO EXAURIDO;
1991;RESOLUÇÃO CONAMA;1;Resolução CONAMA Nº 001/1991;Dispõe sobre a criação de Câmara Técnica para elaboração de proposta de alteração da Portaria nº 53/79;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=115;ATO EXAURIDO;
1991;RESOLUÇÃO CONAMA;3;Resolução CONAMA Nº 003/1991;Dispõe sobre a criação de Câmara Técnica permanente para assessorar o plenário do CONAMA. Revogada pela Resolução nº 05, de 1995.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=117;REVOGADO;
1991;RESOLUÇÃO CONAMA;5;Resolução CONAMA Nº 005/1991;Dispõe sobre o Calendário de Reuniões Ordinárias do CONAMA, para o exercício de 1992;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=119;ATO EXAURIDO;
1991;RESOLUÇÃO CONAMA;6;Resolução CONAMA Nº 006/1991;Dispõe sobre a incineração de resíduos sólidos provenientes de estabelecimentos de saúde, portos e aeroportos;CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=120;NÃO CONSTA REVOGAÇÃO EXPRESSA;
1991;RESOLUÇÃO CONAMA;7;Resolução CONAMA Nº 007/1991;Dispõe sobre alterações no Regimento Interno do CONAMA;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=121;ATO EXAURIDO;
1993;DECRETO;875;Decreto nº 875, de 19 de julho de 1993;Promulga o texto da Convenção sobre o Controle de Movimentos Transfronteiriços de Resíduos Perigosos e seu Depósito;EXTERNO;SEGURANÇA QUÍMICA;https://www.planalto.gov.br/ccivil_03/decreto/d0875.htm;NÃO CONSTA REVOGAÇÃO EXPRESSA;
1993;RESOLUÇÃO CONAMA;1;Resolução CONAMA Nº 001A/1993;Prorroga o mandato dos membros das Câmaras Técnicas Permanentes do CONAMA e institui o calendário de Reuniões Ordinárias para 1993;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=808;ATO EXAURIDO;
1993;RESOLUÇÃO CONAMA;2;Resolução CONAMA Nº 002A/1993 ;Cria a Câmara Técnica Temporária de Acompanhamento e Análise do Projeto Usina Nuclear Angra II;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=806;ATO EXAURIDO;
1993;RESOLUÇÃO CONAMA;3;Resolução CONAMA Nº 003/1993;Cria a Câmara Técnica Temporária para Assuntos de Mata Atlântica;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=128;ATO EXAURIDO;
1993;RESOLUÇÃO CONAMA;5;Resolução CONAMA Nº 005/1993;Dispõe sobre o gerenciamento de resíduos sólidos gerados nos portos, aeroportos, terminais ferroviários e rodoviários. Alterada Pela Resolução Nº 358/2005. ;CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=130;NÃO CONSTA REVOGAÇÃO EXPRESSA;
1993;RESOLUÇÃO CONAMA;10;Resolução CONAMA Nº 010/1993;Estabelece os parâmetros básicos para análise dos estágios de sucessão de Mata Atlântica. Alterada pela Resolução CONAMA no 11/93. Complementada pelas Resoluções no 1, 2, 4, 5, 6, 12, 25, 26, 28, 29, 30, 31, 32, 33 e 34/94, 7/96, 261/99, 391 e 392/07 · Convalidada pela Resolução CONAMA nº 388/07;CONAMA;BIODIVERSIDADE;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=135;NÃO CONSTA REVOGAÇÃO EXPRESSA;
1993;RESOLUÇÃO CONAMA;11;Resolução CONAMA Nº 011/1993;Prorroga prazo para definição de detalhamento dos parâmetros básicos para análise de sucessão da Mata Atlântica, constante da Resolução CONAMA nº 010/93;CONAMA;BIODIVERSIDADE;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=136;ATO EXAURIDO;
1993;RESOLUÇÃO CONAMA;14;Resolução CONAMA Nº 014/1993; Institui o calendário de Reuniões Ordinárias do CONAMA para 1994;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=139;ATO EXAURIDO;
1993;RESOLUÇÃO CONAMA;16;Resolução CONAMA Nº 016/1993;"Ratifica os limites de emissão, os prazos e demais exigências contidas na Resolução CONAMA nº 018/86, que institui o Programa Nacional de Controle da Poluição por Veículos Automotores - PROCONVE, complementada pelas Resoluções CONAMA nº 03/89, nº 004/89, nº 06/93, nº 07/93, nº 008/93 e pela Portaria IBAMA nº 1.937/90; torna obrigatório o licenciamento ambiental junto ao IBAMA para as especificações, fabricação, comercialização e distribuição de novos combustíveis e sua formulação final para uso em todo o país";CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=135;NÃO CONSTA REVOGAÇÃO EXPRESSA;
1994;RESOLUÇÃO CONAMA;3;Resolução CONAMA Nº 003/1994;Constitui Comissão Interdisciplinar para elaborar parecer conclusivo sobre normas específicas para o licenciamento de atividades relacionadas à exploração e lavra de jazidas de combustíveis líquidos e gás natural;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=144;ATO EXAURIDO;
1994;RESOLUÇÃO CONAMA;7;Resolução CONAMA Nº 007/1994;Adota definições e proíbe a importação de resíduos perigosos - Classe I - em todo o território nacional, sob qualquer forma e para qualquer fim, inclusive reciclagem. Revogada pela Resolução nº 37, de 1994;CONAMA;SEGURANÇA QUÍMICA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=148;REVOGADO;
1994;RESOLUÇÃO CONAMA;8;Resolução CONAMA Nº 008/1994;Cria Câmara Técnica Temporária para Assuntos do MERCOSUL;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=149;ATO EXAURIDO;
1994;RESOLUÇÃO CONAMA;10;Resolução CONAMA Nº 010/1994;Cria Câmara Técnica para Assuntos de Gerenciamento Costeiro, com prazo indeterminado. Revogada pela Resolução nº 05, de 1995.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=151;REVOGADO;
1994;RESOLUÇÃO CONAMA;11;Resolução CONAMA Nº 011/1994;Cria Grupo de Trabalho para analisar avaliação e revisão do Sistema de Licenciamento Ambiental, elaborado pela ABEMA;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=152;ATO EXAURIDO;
1994;RESOLUÇÃO CONAMA;14;Resolução CONAMA Nº 014/1994;Prorroga por um ano o prazo de duração da Câmara Técnica Temporária para Assuntos de Mata Atlântica;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=155;ATO EXAURIDO;
1994;RESOLUÇÃO CONAMA;16;Resolução CONAMA Nº 016/1994;Fixa novos prazos para o cumprimento de dispositivos da Resolução CONAMA nº 008/93, que complementa a Resolução nº 018/86, que institui, em caráter nacional, o Programa de Controle da Poluição do Ar por Veículos Automotores - PROCONVE, estabelecendo limites máximos de emissão de poluentes para os motores destinados a veículos pesados novos, nacionais e importados.  Revogada pela Resolução nº 27, de 1994.;CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=157;REVOGADO;
1994;RESOLUÇÃO CONAMA;17;Resolução CONAMA Nº 017/1994 ;Prorroga o prazo do Grupo de Trabalho Interministerial, criado pela Resolução CONAMA nº 007/94, que adota definições e proíbe a importação de resíduos perigosos - Classe I - em todo o território nacional, sob qualquer forma e para qualquer fim, inclusive reciclagem;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=158;ATO EXAURIDO;
1994;RESOLUÇÃO CONAMA;19;Resolução CONAMA Nº 019/1994;Autoriza, em caráter de excepcionalidade, a exportação de resíduos perigosos contendo bifenilas policloradas - PCBs;CONAMA;SEGURANÇA QUÍMICA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=160;ATO EXAURIDO;
1994;RESOLUÇÃO CONAMA;21;Resolução CONAMA Nº 021/1994;Prorroga o prazo de duração da Câmara Técnica Temporária de Acompanhamento e Análise do Projeto Usina Nuclear Angra II;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=162;ATO EXAURIDO;
1994;RESOLUÇÃO CONAMA;22;Resolução CONAMA Nº 022/1994 ;Cria Comissão Permanente para cadastramento e recadastramento e estabelece procedimentos para a revisão geral do CNEA - Cadastro Nacional de Entidades Ambientalistas. Alterada pelas Resoluções nº 01, de 1995, nº 03, de 1995, e nº 234, de 1997. Revogada pela Resolução nº 292, de 2002.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=163;REVOGADO;
1994;RESOLUÇÃO CONAMA;27;Resolução CONAMA Nº 027/1994;Fixa novos prazos para cumprimento de dispositivos da Resolução CONAMA nº 008/93, que complementa a Resolução nº 018/86, que institui, em caráter nacional, o Programa de Controle da Poluição do Ar por Veículos Automotores - PROCONVE, estabelecendo limites máximos de emissão de poluentes para os motores destinados a veículos pesados novos, nacionais e importados;CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=168;ATO EXAURIDO;
1994;RESOLUÇÃO CONAMA;35;Resolução CONAMA Nº 035/1994;Institui o calendário de Reuniões Ordinárias do CONAMA para 1995. Revogada pela Resolução nº 02, de 1995.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=176;REVOGADO;
1994;RESOLUÇÃO CONAMA;36;Resolução CONAMA Nº 036/1994;Aprova o Relatório Final da Câmara Técnica Temporária de Acompanhamento e Análise do Projeto Usina Nuclear Angra II, criada pela Resolução CONAMA nº 002/93;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=177;NÃO CONSTA REVOGAÇÃO EXPRESSA;
1994;RESOLUÇÃO CONAMA;37;Resolução CONAMA Nº 037/1994;Adota definições e proíbe a importação de resíduos perigosos - Classe I - em todo o território nacional, sob qualquer forma e para qualquer fim, inclusive reciclagem/reaproveitamento. Revogada pela Resolução nº 23, de 1996.;CONAMA;SEGURANÇA QUÍMICA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=178;REVOGADO;
1995;DECRETO;1541;Decreto nº 1.541, de 27 de junho de 1995.  (Vide ADPF 651 DO SDF);Regulamenta o Conselho Nacional da Amazônia Legal - CONAMAZ.;EXTERNO;AMAZÔNIA LEGAL;https://www.planalto.gov.br/ccivil_03/decreto/1995/D1541.htm;REVOGADO;
1995;RESOLUÇÃO CONAMA;1;Resolução CONAMA Nº 001/1995;Prorroga o prazo para renovação de registro das entidades ambientalistas junto ao CNEA - Cadastro Nacional de Entidades Ambientalistas. Alterada Pela Resolução Nº 03, De 1995.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=179;ATO EXAURIDO;
1995;RESOLUÇÃO CONAMA;2;Resolução CONAMA Nº 002/1995 ;Prorroga o mandato dos membros das Câmaras Técnicas Permanentes do CONAMA;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=180;ATO EXAURIDO;
1995;RESOLUÇÃO CONAMA;3;Resolução CONAMA Nº 003/1995;Prorroga o prazo para renovação de registro das entidades ambientalistas junto ao CNEA Cadastro Nacional de Entidades Ambientalistas;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=181;ATO EXAURIDO;
1995;RESOLUÇÃO CONAMA;5;Resolução CONAMA Nº 005/1995;Cria dez Câmaras Técnicas Permanentes para assessorar o Plenário do CONAMA (Assuntos Jurídicos, Controle Ambiental, Ecossistemas, Energia, Gerenciamento Costeiro, Mineração e Garimpo, Recursos Hídricos e Saneamento, Recursos Naturais Renováveis, Transportes, Uso do Solo) e estabelece suas competências. Revogada pela Resolução nº 336, de 2003.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=183;REVOGADO;
1995;RESOLUÇÃO CONAMA;6;Resolução CONAMA Nº 006/1995;Cria a Câmara Técnica Temporária para Assuntos do MERCOSUL;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=184;ATO EXAURIDO;
1995;RESOLUÇÃO CONAMA;7;Resolução CONAMA Nº 007/1995;Cria a Câmara Técnica Temporária para Assuntos de Pantanal;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=185;ATO EXAURIDO;
